query, ndcg@10
23849, 0.009088684028421673
42255, 0.794654921770477
47210, 0.6369734002380002
67316, 0.26071401217877443
118440, 0.1388624438735545
121171, 0.37097561092422787
135802, 0.9778537632415402
141630, 0.3211252364796388
156498, 0.3098562371921236
169208, 0.2702416631294328
174463, 0.4206592774820958
258062, 0.28371255449703187
324585, 0.2200917662980802
330975, 0.18695344216890325
332593, 0.41786694373682665
336901, 0.20210734650054762
390360, 0.2725175086640386
405163, 0.47938213678331165
555530, 0.028381039213873662
583468, 0.7591264731056414
640502, 0.3836331529183765
673670, 0.16616968416952885
701453, 0.8279287916664022
730539, 0.7163250468132252
768208, 0.5622262370989336
877809, 0.5645767602634546
911232, 0.42071059126768146
914916, 0.38022834366623515
938400, 0.0
940547, 0.3628476202104143
997622, 0.2980272981222516
1030303, 0.9466868507697815
1037496, 0.4374730146346952
1043135, 0.5232728111610009
1051399, 0.0
1064670, 0.7178947702842047
1071750, 0.3608830128506654
1105792, 0.7192273732040296
1106979, 0.7232301395703501
1108651, 0.2200917662980802
1109707, 0.7271403410239606
1110678, 0.30412712089466254
1113256, 0.9749014966155739
1115210, 0.23025089257251416
1116380, 0.03569291392133625
1121353, 0.4528263483895736
1122767, 0.4888346519068059
1127540, 0.8844720841250693
1131069, 0.46927872602275655
1132532, 0.18091151724126597
1133579, 0.3609519008339534
1136043, 0.4269692648037663
1136047, 0.4470930543717491
1136962, 0.7558735418167734
