query, idcg
23849, 31.804915366618417
42255, 18.7710512655814
47210, 28.182676571548026
67316, 26.849343238214693
118440, 31.804915366618417
121171, 13.630678014265037
135802, 13.052548361629261
141630, 20.154397028550864
156498, 15.819558616729841
169208, 23.877103260844436
174463, 17.630678014265037
258062, 31.804915366618417
324585, 31.804915366618417
330975, 31.804915366618417
332593, 26.849343238214693
336901, 14.9165082750002
390360, 26.849343238214693
405163, 31.804915366618417
555530, 13.630678014265037
583468, 31.804915366618417
640502, 31.804915366618417
673670, 29.44453607869094
701453, 23.877103260844436
730539, 17.630678014265037
768208, 22.06598386330924
877809, 31.804915366618417
911232, 13.666771961378048
914916, 31.804915366618417
938400, 31.804915366618417
940547, 13.630678014265037
997622, 31.804915366618417
1030303, 20.16042416454164
1037496, 31.804915366618417
1043135, 29.44453607869094
1051399, 22.15439702855086
1064670, 9.666771961378048
1071750, 18.974207384587125
1105792, 11.819558616729841
1106979, 20.154397028550864
1108651, 31.804915366618417
1109707, 31.804915366618417
1110678, 9.666771961378048
1113256, 28.182676571548026
1115210, 12.805418845231262
1116380, 17.676610964349
1121353, 8.805418845231259
1122767, 31.804915366618417
1127540, 26.849343238214693
1131069, 14.9165082750002
1132532, 31.804915366618417
1133579, 22.15439702855086
1136043, 26.849343238214693
1136047, 17.676610964349
1136962, 31.804915366618417
